drug,target
Chlorpromazine,P35462
Chlorpromazine,P28335
Chlorpromazine,P41595
Chlorpromazine,P18825
Chlorpromazine,P50406
Chlorpromazine,P17405
Chlorpromazine,Q9H3N8
Ceritinib,Q9UM73
Enoxacin,P43700
Enoxacin,P43702
Enoxacin,P11388
Diazepam,P47869
Diazepam,P78334
Diazepam,P28476
Diazepam,P18505
Diazepam,P14867
Diazepam,O00591
Diazepam,P47870
Diazepam,P30536
Diazepam,O14764
Diazepam,Q8N1C3
Diazepam,P31644
Diazepam,P34903
Diazepam,A8MPY1
Diazepam,P28472
Diazepam,Q99928
Diazepam,P48169
Diazepam,Q16445
Diazepam,Q9UN88
Diazepam,P24046
Diazepam,P18507
Bimatoprost,P43115
Bimatoprost,P34995
Bimatoprost,P43088
Bimatoprost,P42330
Flavoxate,P11229
Flavoxate,P08172
Netilmicin,P0A7S3
Maraviroc,P51681
Ecallantide,P03952
Lithium,P29218
Lithium,P49841
Lithium,O14732
Lithium,P42263
Potassium,P05023
Metoprolol,P08588
Metoprolol,P07550
Clemastine,P35367
Griseofulvin,Q99456
Griseofulvin,P10875
Griseofulvin,P87066
Bromfenac,P23219
Bromfenac,P35354
Bevantolol,P08588
Bevantolol,P35348
Bevantolol,P07550
Cholic Acid,P51161
Cholic Acid,P22830
Cholic Acid,P09669
Cholic Acid,P00395
Cholic Acid,P14854
Cholic Acid,P54965
Cholic Acid,P13073
Cholic Acid,Q02221
Cholic Acid,P24310
Cholic Acid,P00326
Cholic Acid,Q7KZA3
Cholic Acid,P23141
Cholic Acid,P00414
Cholic Acid,P10606
Cholic Acid,P15954
Cholic Acid,P24311
Cholic Acid,P20674
Cholic Acid,P00403
Cholic Acid,P62508
Cholic Acid,P04054
Cholic Acid,P10176
Balsalazide,P23219
Balsalazide,P37231
Balsalazide,P35354
Balsalazide,P09917
Monobenzone,P14679
Maprotiline,P20309
Maprotiline,P08913
Maprotiline,P35367
Maprotiline,P14416
Maprotiline,P28223
Maprotiline,P18089
Maprotiline,P08173
Maprotiline,P25100
Maprotiline,P08912
Maprotiline,P35368
Maprotiline,P35348
Maprotiline,P11229
Maprotiline,P34969
Maprotiline,P28335
Maprotiline,P18825
Maprotiline,P23975
Maprotiline,P08172
Polythiazide,P55017
Cefotaxime,P02768
Cefotaxime,Q7CRA4
Cefotaxime,Q9NSA0
Cefotaxime,P42971
Cefotaxime,Q8DR59
Cefotaxime,B2ZTR6
Cefotaxime,Q16348
Cefotaxime,P0A3M6
Cefotaxime,Q8DNB6
Cefotaxime,P46059
Cefotaxime,Q8TCC7
Cefotaxime,Q4U2R8
Cefotaxime,Q9Y694
Camphor,P00183
Morphine,P35372
Morphine,P41145
Morphine,P41143
Nitazoxanide,P94692
Fenoldopam,P08913
Fenoldopam,P21918
Fenoldopam,P18089
Fenoldopam,P25100
Fenoldopam,P21728
Fenoldopam,P35368
Fenoldopam,P35348
Fenoldopam,P18825
Terlipressin,P30518
Terlipressin,P37288
Terlipressin,P47901
Thiamine,O60779
Thiamine,Q9H3S4
Fidaxomicin,Q18BX5
Ethanolamine Oleate,P00748
Miglitol,Q14697
Miglitol,P10253
Miglitol,O43451
Miglitol,Q8TET4
Cefdinir,P08149
Cefdinir,Q60FT7
Cefdinir,P05164
Rabeprazole,P20648
Peginesatide,P19235
Cisapride,Q12809
Cisapride,Q13639
Cisapride,P28223
Cisapride,P46098
Phenylbutazone,P23219
Phenylbutazone,Q16647
Phenylbutazone,P35354
Fingolimod,Q9H228
Dimethyl fumarate,Q14145
Clavulanate,P00807
Lovastatin,P20701
Lovastatin,Q92769
Lovastatin,P04035
Oxybutynin,P20309
Oxybutynin,P11229
Oxybutynin,P08172
Nicotine,Q05901
Nicotine,P28329
Nicotine,P36544
Nicotine,P43681
Nicotine,P11511
Nicotine,Q9UGM1
Nicotine,Q9GZZ6
Nicotine,P30926
Nicotine,P30532
Nicotine,Q15825
Nicotine,Q15822
Nicotine,P32297
Nicotine,P17787
Quinidine barbiturate,P47869
Quinidine barbiturate,P14867
Quinidine barbiturate,Q14524
Quinidine barbiturate,P42262
Quinidine barbiturate,O00180
Heparin,P16109
Heparin,P01008
Heparin,P00742
Niacin,P49019
Niacin,Q8TDS4
Niacin,Q15274
Niacin,P40261
Tropicamide,P20309
Tropicamide,P08173
Tropicamide,P11229
Tropicamide,P08172
Isopropyl Alcohol,P17900
Isopropyl Alcohol,P43026
Isopropyl Alcohol,P05893
Isopropyl Alcohol,Q13838
Isopropyl Alcohol,Q7Z4W1
Isopropyl Alcohol,P23367
Isopropyl Alcohol,P71143
Isopropyl Alcohol,Q9BV57
Isopropyl Alcohol,O60942
Isopropyl Alcohol,P01375
Isopropyl Alcohol,Q13231
Isopropyl Alcohol,P01625
Isopropyl Alcohol,P0AES2
Isopropyl Alcohol,P13686
Isopropyl Alcohol,P30793
Isopropyl Alcohol,P30041
Isopropyl Alcohol,P23526
Isopropyl Alcohol,Q46509
Isopropyl Alcohol,P41407
Isopropyl Alcohol,Q9WZD5
Isopropyl Alcohol,Q9X592
Isopropyl Alcohol,P43133
Isopropyl Alcohol,P00782
Isopropyl Alcohol,O67757
Isopropyl Alcohol,P07478
Isopropyl Alcohol,Q04095
Isopropyl Alcohol,P07998
Isopropyl Alcohol,P14555
Isopropyl Alcohol,P03706
Isopropyl Alcohol,Q8YWS4
Diflunisal,P23219
Diflunisal,P35354
Novobiocin,Q06AK7
Novobiocin,P0A0K8
L-Citrulline,P00480
L-Citrulline,P35228
L-Citrulline,Q9ULC6
L-Citrulline,P29475
L-Citrulline,Q9Y2J8
L-Citrulline,P29474
L-Citrulline,Q9ULW8
L-Citrulline,Q9UM07
L-Citrulline,Q5T6L4
L-Citrulline,Q6TGC4
L-Citrulline,O94760
L-Citrulline,O95865
L-Citrulline,P00966
Flucytosine,P12461
Flucytosine,P26358
Vinblastine,Q9UJT0
Vinblastine,P07437
Vinblastine,P23258
Vinblastine,Q71U36
Vinblastine,Q9UJT1
Vinblastine,P05412
Ifenprodil,Q13224
Ifenprodil,Q05586
Escitalopram,P35367
Escitalopram,P31645
Escitalopram,P35348
Escitalopram,Q01959
Escitalopram,P11229
Escitalopram,P23975
Vorapaxar,P25116
Rotigotine,P21917
Rotigotine,P21918
Rotigotine,P14416
Rotigotine,P18089
Rotigotine,P08908
Rotigotine,P21728
Rotigotine,P35462
Telaprevir,B0B3C9
Amitriptyline,P20309
Amitriptyline,Q09470
Amitriptyline,Q16620
Amitriptyline,P08913
Amitriptyline,P04629
Amitriptyline,P35367
Amitriptyline,P28221
Amitriptyline,P35372
Amitriptyline,P13945
Amitriptyline,P28223
Amitriptyline,O43525
Amitriptyline,P08588
Amitriptyline,P31645
Amitriptyline,P08173
Amitriptyline,P25021
Amitriptyline,P41145
Amitriptyline,P25100
Amitriptyline,P08908
Amitriptyline,P08912
Amitriptyline,O43526
Amitriptyline,P35368
Amitriptyline,P35348
Amitriptyline,Q9UK17
Amitriptyline,P28222
Amitriptyline,Q9NZV8
Amitriptyline,P07550
Amitriptyline,P11229
Amitriptyline,P34969
Amitriptyline,Q99720
Amitriptyline,P28335
Amitriptyline,P23975
Amitriptyline,P50406
Amitriptyline,P08172
Amitriptyline,Q9H3N8
Amitriptyline,P41143
Podofilox,P68366
Podofilox,P07437
Podofilox,P11388
Fludarabine,P27707
Fludarabine,P09884
Fludarabine,P23921
Eletriptan,P28221
Eletriptan,P08908
Eletriptan,P28566
Eletriptan,P28222
Eletriptan,P30939
Eletriptan,P34969
Eletriptan,P41595
Sulfathiazole,Q27738
Besifloxacin,P43700
Besifloxacin,P43702
Besifloxacin,P72525
Besifloxacin,P72524
Pirenzepine,P11229
Glisoxepide,Q15842
Ciclopirox,P05023
Carbocisteine,P09211
Voglibose,O43451
Mirtazapine,P08913
Mirtazapine,P35367
Mirtazapine,Q9Y5N1
Mirtazapine,P21918
Mirtazapine,P14416
Mirtazapine,P28223
Mirtazapine,P08588
Mirtazapine,P31645
Mirtazapine,P41145
Mirtazapine,P25100
Mirtazapine,P21728
Mirtazapine,P35368
Mirtazapine,P46098
Mirtazapine,P35348
Mirtazapine,P07550
Mirtazapine,Q01959
Mirtazapine,P34969
Mirtazapine,P35462
Mirtazapine,P28335
Mirtazapine,P41595
Mirtazapine,P18825
Mirtazapine,P23975
Quinine,O15554
Quinine,P14770
Elvitegravir,Q7ZJM1
Levocabastine,P35367
Levocabastine,O95665
Primidone,P47869
Primidone,P78334
Primidone,P36544
Primidone,P18505
Primidone,P43681
Primidone,P14867
Primidone,O00591
Primidone,P47870
Primidone,P42262
Primidone,Q13002
Primidone,O14764
Primidone,Q8N1C3
Primidone,P31644
Primidone,P34903
Primidone,P28472
Primidone,Q99928
Primidone,P48169
Primidone,Q16445
Primidone,Q9UN88
Primidone,P18507
Liothyronine,P10827
Liothyronine,P10828
Clevidipine,Q13698
Clevidipine,O60840
Clevidipine,Q01668
Clevidipine,Q13936
Calcipotriol,P11473
Tamibarotene,P10826
Tamibarotene,P10276
Methysergide,P28223
Methysergide,P08908
Methysergide,P28566
Methysergide,P28222
Methysergide,P30939
Methysergide,P34969
Methysergide,P28335
Methysergide,P41595
Almitrine,P05023
Lubiprostone,P51788
Hexafluronium,P06276
Synthetic Conjugated Estrogens A,P03372
Nicardipine,P54750
Nicardipine,P20309
Nicardipine,P54289
Nicardipine,P08173
Nicardipine,Q01064
Nicardipine,P25100
Nicardipine,P08912
Nicardipine,Q08289
Nicardipine,P35368
Nicardipine,P35348
Nicardipine,P11229
Nicardipine,Q01668
Nicardipine,P62158
Nicardipine,Q13936
Nicardipine,P08172
Tenofovir,Q72547
Fluconazole,P10613
Sacubitril,P08473
Nimodipine,O00305
Nimodipine,Q13698
Nimodipine,Q08289
Nimodipine,P35869
Nimodipine,O60840
Nimodipine,Q01668
Nimodipine,Q02641
Nimodipine,Q13936
Nimodipine,P08235
Nimodipine,P54284
Oleic Acid,P29498
Oleic Acid,P02689
Oleic Acid,Q9NZD2
Nateglinide,P37231
Nateglinide,Q09428
Meloxicam,P23219
Meloxicam,P35354
Arformoterol,P07550
Nizatidine,P25021
Bacitracin,P14735
Bacitracin,P01023
Abacavir,Q72547
Trimetrexate,P00374
Thalidomide,P02763
Thalidomide,P19838
Thalidomide,P01375
Thalidomide,P19652
Thalidomide,P35354
Thalidomide,P21802
Thalidomide,Q96SW2
Hydrochlorothiazide,P00915
Hydrochlorothiazide,P00918
Hydrochlorothiazide,O43570
Hydrochlorothiazide,P55017
Hydrochlorothiazide,Q12791
Hydrochlorothiazide,P22748
Hydrochlorothiazide,Q16790
Methotrimeprazine,P20309
Methotrimeprazine,P08913
Methotrimeprazine,P21917
Methotrimeprazine,P35367
Methotrimeprazine,P21918
Methotrimeprazine,P14416
Methotrimeprazine,P28223
Methotrimeprazine,P18089
Methotrimeprazine,P08173
Methotrimeprazine,P25100
Methotrimeprazine,P08912
Methotrimeprazine,P21728
Methotrimeprazine,P35368
Methotrimeprazine,P35348
Methotrimeprazine,P11229
Methotrimeprazine,P35462
Methotrimeprazine,P28335
Methotrimeprazine,P18825
Methotrimeprazine,P08172
Phenmetrazine,Q01959
Phenmetrazine,P23975
Antrafenine,P23219
Antrafenine,P35354
Zolmitriptan,P28221
Zolmitriptan,P08908
Zolmitriptan,P28222
Zolmitriptan,P30939
Physostigmine,P22303
Atovaquone,Q02768
Atovaquone,Q02127
Atovaquone,Q08210
Cariprazine,P35367
Cariprazine,P14416
Cariprazine,P28223
Cariprazine,P08908
Cariprazine,P35462
Cariprazine,P41595
Isoetarine,P08588
Isoetarine,P07550
Cetirizine,P35367
Meprobamate,P47869
Meprobamate,P78334
Meprobamate,P18505
Meprobamate,P14867
Meprobamate,O00591
Meprobamate,P47870
Meprobamate,O14764
Meprobamate,Q8N1C3
Meprobamate,P31644
Meprobamate,P34903
Meprobamate,P28472
Meprobamate,Q99928
Meprobamate,P48169
Meprobamate,Q16445
Meprobamate,Q9UN88
Meprobamate,P18507
Enalaprilat,P12821
Galantamine,Q05901
Galantamine,P06276
Galantamine,P36544
Galantamine,P43681
Galantamine,P02708
Galantamine,Q07001
Galantamine,P07510
Galantamine,Q04844
Galantamine,P11230
Galantamine,P22303
Galantamine,Q9UGM1
Galantamine,Q9GZZ6
Galantamine,P30926
Galantamine,P30532
Galantamine,Q15825
Galantamine,Q15822
Galantamine,P32297
Galantamine,P17787
Auranofin,P30044
Auranofin,O14920
Clofazimine,O95342
Clofazimine,Q5L2G3
Sertindole,Q12809
Sertindole,P14416
Sertindole,P28223
Sertindole,P25100
Sertindole,P35368
Sertindole,P35348
Sertindole,P28335
Sertindole,P50406
Ethinamate,P00915
Ethinamate,P00918
Cefacetrile,P02919
Cefacetrile,P02918
Olopatadine,P35367
Olopatadine,P80511
Olopatadine,P04271
Olopatadine,P23297
Olopatadine,Q99584
Olopatadine,P29034
Zalcitabine,Q72547
Ridogrel,P21731
Ridogrel,P24557
Vitamin A,P00352
Vitamin A,P09455
Vitamin A,P10745
Vitamin A,P12271
Vitamin A,Q96NR8
Vitamin A,Q6NUM9
Vitamin A,Q9BTZ2
Vitamin A,O75911
Vitamin A,Q9NYR8
Vitamin A,Q8NBN7
Vitamin A,Q9HBH5
Vitamin A,O95237
Vitamin A,O94788
Vitamin A,Q8TC12
Vitamin A,P47895
Vitamin A,Q92781
Cefalotin,Q7CRA4
Cefalotin,Q8XJ01
Cefalotin,Q75Y35
Cefalotin,Q8DR59
Cefalotin,P0A3M6
Cefalotin,Q8DNB6
Cefalotin,P15555
Cefalotin,P00811
Spermine,Q9NWM0
Spermine,P52788
Spermine,P11926
Finasteride,P51857
Finasteride,P31213
Finasteride,P18405
Suvorexant,O43613
Suvorexant,O43614
Travoprost,P43088
Chlormerodrin,Q13621
Chlormerodrin,P51649
Norgestrel,P06401
Norgestrel,P10275
Norgestrel,P18405
Tiagabine,P30531
Hydroxyzine,P35367
Ertapenem,P44469
Ertapenem,P24228
Ertapenem,P45059
Ertapenem,P02919
Ertapenem,P0AD68
Ertapenem,P0AD65
Ertapenem,P08506
Ertapenem,P02918
Bumetanide,Q9H2X9
Bumetanide,P13569
Bumetanide,Q13621
Bumetanide,Q9UP95
Bumetanide,P55011
Crisaborole,Q08499
Crisaborole,Q08493
Crisaborole,P27815
Crisaborole,Q07343
Quazepam,P47869
Quazepam,P78334
Quazepam,P28476
Quazepam,P18505
Quazepam,P14867
Quazepam,O00591
Quazepam,P47870
Quazepam,O14764
Quazepam,Q8N1C3
Quazepam,P31644
Quazepam,P34903
Quazepam,A8MPY1
Quazepam,P28472
Quazepam,Q99928
Quazepam,P48169
Quazepam,Q16445
Quazepam,Q9UN88
Quazepam,P24046
Quazepam,P18507
Cholecalciferol,P11473
Clomifene,P03372
Abiraterone,P05093
Voriconazole,P10613
Lacosamide,Q9Y5Y9
Lacosamide,Q9NY46
Lacosamide,Q15858
Artesunate,P04926
Alosetron,P46098
Eslicarbazepine acetate,Q99571
Lornoxicam,P23219
Lornoxicam,P35354
Aliskiren,P00797
Dexamethasone,P04150
Dexamethasone,P35228
Dexamethasone,P04083
Dexamethasone,P51843
Tiaprofenic acid,P23219
Tiaprofenic acid,P35354
Ephedrine,P35348
Ephedrine,P22303
Ephedrine,Q05940
Ephedrine,P23975
Tolvaptan,P30518
Tolvaptan,P37288
Mivacurium,P20309
Mivacurium,P06276
Mivacurium,Q15822
Mivacurium,P08172
Sulfacytine,P0AC13
Phenobarbital,P36544
Phenobarbital,Q8TCU5
Phenobarbital,P43681
Phenobarbital,P14867
Phenobarbital,O60391
Phenobarbital,P42262
Phenobarbital,Q13002
Phenobarbital,Q14957
Phenobarbital,Q13224
Phenobarbital,Q05586
Phenobarbital,Q12879
Phenobarbital,O15399
Donepezil,P28223
Donepezil,P22303
Drospirenone,P06401
Drospirenone,P10275
Drospirenone,P08235
Desmopressin,P30518
Desmopressin,P37288
Desmopressin,P47901
Flucloxacillin,Q8XJ01
Amsacrine,Q12809
Amsacrine,P11388
Tibolone,P03372
Peramivir,P27907
Peramivir,P06818
Phentermine,P21397
Phentermine,P31645
Phentermine,P27338
Phentermine,Q01959
Phentermine,P23975
Clobazam,P47869
Clobazam,P78334
Clobazam,P18505
Clobazam,P14867
Clobazam,O00591
Clobazam,P47870
Clobazam,O14764
Clobazam,Q8N1C3
Clobazam,P31644
Clobazam,P34903
Clobazam,P28472
Clobazam,Q99928
Clobazam,P48169
Clobazam,Q16445
Clobazam,Q9UN88
Clobazam,P18507
Flupirtine,P08913
Ospemifene,P03372
Isradipine,P54289
Isradipine,Q13698
Isradipine,Q08289
Isradipine,O95180
Isradipine,Q01668
Isradipine,Q9NY47
Isradipine,Q13936
Norethisterone,P06401
Ambrisentan,P24530
Ambrisentan,P25101
Vinorelbine,P07437
Methohexital,P14867
Oxymetazoline,P08913
Oxymetazoline,P18089
Oxymetazoline,P25100
Oxymetazoline,P35368
Oxymetazoline,P35348
Oxymetazoline,P18825
Epoprostenol,Q9H244
Epoprostenol,Q16647
Epoprostenol,P43119
Perindopril,P12821
Icatibant,P30411
Icatibant,P15144
Rosiglitazone,P37231
Rosiglitazone,O60488
Famciclovir,P04293
Famciclovir,P09252
Sulfoxone,Q27738
Amprenavir,Q72874
Cycloserine,Q9L888
Cycloserine,P0A6J8
Buspirone,P14416
Buspirone,P08908
Nitrazepam,P47869
Nitrazepam,P78334
Nitrazepam,P28476
Nitrazepam,P18505
Nitrazepam,P14867
Nitrazepam,O00591
Nitrazepam,P47870
Nitrazepam,O14764
Nitrazepam,Q8N1C3
Nitrazepam,P31644
Nitrazepam,P34903
Nitrazepam,P35498
Nitrazepam,A8MPY1
Nitrazepam,P28472
Nitrazepam,Q99928
Nitrazepam,P48169
Nitrazepam,Q16445
Nitrazepam,Q9UN88
Nitrazepam,P24046
Nitrazepam,P18507
Anisindione,P38435
Adenine,Q5SL87
Adenine,P0AF12
Adenine,Q8RLY5
Adenine,P17802
Adenine,P78362
Adenine,O00763
Adenine,Q05603
Adenine,P24666
Adenine,Q9BY49
Adenine,Q13126
Adenine,P07741
Mepyramine,P35367
Tasimelteon,P48039
Tasimelteon,P49286
Epirubicin,P11388
Epirubicin,O14646
Ergonovine,P35348
Framycetin,P61073
Framycetin,P0A7S3
Panobinostat,Q13547
Panobinostat,Q8WUI4
Panobinostat,Q9BY41
Panobinostat,Q92769
Panobinostat,Q969S8
Panobinostat,Q96DB2
Panobinostat,Q9UQL6
Panobinostat,Q9UKV0
Panobinostat,O15379
Panobinostat,Q9UBN7
Panobinostat,P56524
Vidarabine,Q9QNF7
Vidarabine,P09250
Vidarabine,P03198
Latanoprost,P43088
Olsalazine,P01579
Olsalazine,P51580
Amiloride,P37088
Amiloride,P19801
Amiloride,P19634
Amiloride,Q16515
Amiloride,P78348
Amiloride,P00749
Amiloride,P51172
Amiloride,P51168
Amiloride,P51170
Methamphetamine,P08913
Methamphetamine,P21397
Methamphetamine,P18089
Methamphetamine,P31645
Methamphetamine,P27338
Methamphetamine,Q96RJ0
Methamphetamine,Q01959
Methamphetamine,Q05940
Methamphetamine,P54219
Methamphetamine,P18825
Methamphetamine,P23975
Cyproheptadine,P20309
Cyproheptadine,P35367
Cyproheptadine,P28223
Cyproheptadine,P11229
Cyproheptadine,P28335
Cyproheptadine,P08172
Methadone,Q8TCU5
Methadone,P35372
Methadone,P46098
Methadone,Q9GZZ6
Methadone,P41143
Prednisolone,P04150
Oxcarbazepine,Q14524
Bethanechol,P08172
Ritodrine,P07550
Metocurine,Q15822
Metocurine,P08172
Drostanolone,P10275
Florbetapir (18F),P05067
Terbutaline,P07550
Sulfamoxole,Q27738
Streptomycin,P0A7S3
Streptomycin,Q9UM07
Docosanol,P03200
Docosanol,P68344
Magnesium Sulfate,P54289
Magnesium Sulfate,Q13698
Magnesium Sulfate,Q08289
Magnesium Sulfate,Q06432
Magnesium Sulfate,Q02641
Magnesium Sulfate,Q13936
Efavirenz,Q72547
Azilsartan medoxomil,P30556
Caspofungin,A2QLK4
Propiomazine,P20309
Propiomazine,P21917
Propiomazine,P35367
Propiomazine,P14416
Propiomazine,P28223
Propiomazine,P08173
Propiomazine,P25100
Propiomazine,P08912
Propiomazine,P21728
Propiomazine,P35368
Propiomazine,P35348
Propiomazine,P11229
Propiomazine,P28335
Propiomazine,P08172
Fexofenadine,P35367
Penbutolol,P08588
Penbutolol,P08908
Penbutolol,P28222
Penbutolol,P07550
Metolazone,P55017
Felypressin,P37288
Mirabegron,P13945
Acetylsalicylic acid,P54619
Acetylsalicylic acid,P23219
Acetylsalicylic acid,P54646
Acetylsalicylic acid,Q9UGJ0
Acetylsalicylic acid,P51812
Acetylsalicylic acid,P25101
Acetylsalicylic acid,Q04828
Acetylsalicylic acid,P04637
Acetylsalicylic acid,P19838
Acetylsalicylic acid,Q9Y478
Acetylsalicylic acid,P25963
Acetylsalicylic acid,Q13131
Acetylsalicylic acid,Q00653
Acetylsalicylic acid,O14920
Acetylsalicylic acid,P35354
Acetylsalicylic acid,O43741
Acetylsalicylic acid,P11021
Acetylsalicylic acid,Q9UGI9
Sulindac,P23219
Sulindac,P27361
Sulindac,P15121
Sulindac,P35354
Sulindac,Q9Y5Y4
Sulindac,Q03181
Silodosin,P25100
Silodosin,P35368
Silodosin,P35348
Aztreonam,P42971
Aztreonam,P05193
Haloperidol,P14416
Haloperidol,P28223
Haloperidol,P21728
Haloperidol,Q13224
Haloperidol,P35462
Caffeine,P54750
Caffeine,P29274
Caffeine,O00408
Caffeine,Q14123
Caffeine,Q14571
Caffeine,O00329
Caffeine,Q13946
Caffeine,Q9NP56
Caffeine,O76074
Caffeine,O76083
Caffeine,Q14432
Caffeine,Q01064
Caffeine,Q08499
Caffeine,Q13315
Caffeine,P42338
Caffeine,Q08493
Caffeine,P27815
Caffeine,Q13370
Caffeine,O95263
Caffeine,P30542
Caffeine,P16499
Caffeine,Q14643
Caffeine,Q07343
Caffeine,O60658
Caffeine,Q14573
Caffeine,P35913
Caffeine,P21817
Caffeine,P51160
Caffeine,Q9HCR9
Caffeine,Q9Y233
Caffeine,P78527
Caffeine,P42336
Perhexiline,P50416
Perhexiline,P23786
Ofloxacin,P43700
Ofloxacin,P43702
Ofloxacin,P11388
Mequitazine,P35367
Selegiline,P21397
Selegiline,P27338
Itraconazole,P50859
Itraconazole,Q16850
Methylnaltrexone,P35372
Methylnaltrexone,P41145
Clenbuterol,P01138
Clenbuterol,P13945
Clenbuterol,P08588
Clenbuterol,P01375
Clenbuterol,P07550
Propranolol,P13945
Propranolol,P08588
Propranolol,P08908
Propranolol,P28222
Propranolol,P07550
Azacitidine,P26358
Enoxaparin,P01008
Enoxaparin,P00742
Fosphenytoin,Q14524
Nortriptyline,P08909
Nortriptyline,P20309
Nortriptyline,P08913
Nortriptyline,P35367
Nortriptyline,P14416
Nortriptyline,P13945
Nortriptyline,P28223
Nortriptyline,P08588
Nortriptyline,P18089
Nortriptyline,P31645
Nortriptyline,P08173
Nortriptyline,P25100
Nortriptyline,P08908
Nortriptyline,P08912
Nortriptyline,P35368
Nortriptyline,P35348
Nortriptyline,P07550
Nortriptyline,P11229
Nortriptyline,Q99720
Nortriptyline,P28335
Nortriptyline,P18825
Nortriptyline,O00264
Nortriptyline,P23975
Nortriptyline,P50406
Nortriptyline,P08172
Azelaic Acid,P51857
Azelaic Acid,P66010
Azelaic Acid,P00582
Azelaic Acid,P31213
Azelaic Acid,P14679
Metoclopramide,Q13639
Metoclopramide,P14416
Metoclopramide,P46098
Metoclopramide,P11229
Gallium nitrate,P02818
Gallium nitrate,P01584
Gallium nitrate,Q9S427
Gallium nitrate,P21281
Gallium nitrate,P31350
Triflupromazine,P14416
Triflupromazine,P21728
Triflupromazine,P11229
Triflupromazine,P41595
Triflupromazine,P08172
Bendroflumethiazide,P00915
Bendroflumethiazide,P00918
Bendroflumethiazide,P55017
Bendroflumethiazide,Q12791
Bendroflumethiazide,P22748
Tocainide,Q14524
Deslanoside,P05023
Sirolimus,P09038
Sirolimus,P42345
Sirolimus,P62942
Apixaban,P00742
Acitretin,P09455
Acitretin,P19793
Acitretin,P13631
Acitretin,P48443
Acitretin,P10826
Acitretin,P10276
Acitretin,P28702
Cinnarizine,P20309
Cinnarizine,P35367
Cinnarizine,Q13698
Cinnarizine,P21918
Cinnarizine,P14416
Cinnarizine,P08173
Cinnarizine,P08912
Cinnarizine,P21728
Cinnarizine,O95180
Cinnarizine,O43497
Cinnarizine,P11229
Cinnarizine,O60840
Cinnarizine,Q01668
Cinnarizine,Q9P0X4
Cinnarizine,Q13936
Cinnarizine,P08172
Pimecrolimus,P42345
Pimecrolimus,P62942
Etonogestrel,P06401
Etonogestrel,P03372
Pantoprazole,P20648
Fomepizole,P00326
Fomepizole,P00325
Fomepizole,P07327
Fomepizole,P04040
Pentosan Polysulfate,P09038
Pentosan Polysulfate,P08620
Pentosan Polysulfate,P05230
Cryptenamine,P20309
Cryptenamine,P08173
Cryptenamine,P08912
Cryptenamine,P11229
Cryptenamine,P08172
Sorafenib,P11362
Sorafenib,P09619
Sorafenib,P35968
Sorafenib,P17948
Sorafenib,P36888
Sorafenib,P04049
Sorafenib,P07949
Sorafenib,P35916
Sorafenib,P15056
Sorafenib,P10721
Levosimendan,Q14432
Levosimendan,P63316
Levosimendan,Q14654
Levosimendan,Q15842
Ranitidine,P25021
Phenformin,Q13131
Phenformin,Q15842
Doripenem,P72355
Doripenem,P02919
Doripenem,P0AD65
Doripenem,Q51504
Doripenem,P02918
Dipyridamole,P00813
Dipyridamole,O76074
Dipyridamole,P27815
Dipyridamole,Q9Y233
Folic Acid,P41439
Folic Acid,P14207
Adenosine triphosphate,Q13564
Adenosine triphosphate,O43681
Adenosine triphosphate,Q07912
Adenosine triphosphate,P25098
Adenosine triphosphate,P12235
Adenosine triphosphate,Q16671
Adenosine triphosphate,P08243
Adenosine triphosphate,P33121
Adenosine triphosphate,P08183
Adenosine triphosphate,Q04771
Adenosine triphosphate,P35626
Adenosine triphosphate,P37023
Adenosine triphosphate,Q13131
Adenosine triphosphate,O60706
Adenosine triphosphate,O95342
Adenosine triphosphate,Q92887
Adenosine triphosphate,O14727
Adenosine triphosphate,Q96Q40
Adenosine triphosphate,P49902
Adenosine triphosphate,Q09428
Adenosine triphosphate,P31749
Adenosine triphosphate,P42684
Adenosine triphosphate,P45844
Adenosine triphosphate,O95477
Adenosine triphosphate,P00519
Adenosine triphosphate,Q9UM73
Adenosine triphosphate,Q9NR19
Adenosine triphosphate,Q9Y4W6
Adenosine triphosphate,Q08828
Adenosine triphosphate,Q9NUB1
Adenosine triphosphate,P10398
Adenosine triphosphate,P36896
Adenosine triphosphate,P00966
Flumazenil,P47869
Flumazenil,P78334
Flumazenil,P18505
Flumazenil,P14867
Flumazenil,O00591
Flumazenil,P47870
Flumazenil,O14764
Flumazenil,Q8N1C3
Flumazenil,P31644
Flumazenil,P34903
Flumazenil,P28472
Flumazenil,Q99928
Flumazenil,P48169
Flumazenil,Q16445
Flumazenil,Q9UN88
Flumazenil,P18507
Epinastine,P08913
Epinastine,P35367
Epinastine,P28223
Epinastine,P25021
Epinastine,P35348
Epinastine,P34969
Acarbose,P10253
Acarbose,P14410
Acarbose,O43451
Acarbose,P04746
Tizanidine,P08913
Tizanidine,Q9Y2I1
Tizanidine,P18089
Tizanidine,P18825
Acenocoumarol,Q9BQB6
Phenytoin,Q14524
Phenytoin,P35498
Digitoxin,P05023
Cefprozil,Q04707
Cefprozil,P0A3M5
Cefprozil,P14677
Argatroban,P00734
Flunitrazepam,P47869
Flunitrazepam,P30536
Flunitrazepam,P31644
Flunitrazepam,P34903
Flunitrazepam,P48169
Flunitrazepam,Q16445
Xylometazoline,P08913
Xylometazoline,P18089
Xylometazoline,P25100
Xylometazoline,P35368
